EndoBench_index,image_path,EndoBench_task,EndoBench_orig_Q,EndoBench_orig_A (gt),Kvasir_Q (current),Kvasir_A (current)
1597,image_1597.jpg,Lesion Type Identification,"Does this image reveal any pathological findings? If it does, please characterize the nature of the identified abnormality.",Barrett's esophagus,Does this image contain any finding?,Yes
1597,image_1597.jpg,Lesion Type Identification,"Does this image reveal any pathological findings? If it does, please characterize the nature of the identified abnormality.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1598,image_1598.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",Barrett's esophagus,Does this image contain any finding?,Yes
1598,image_1598.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1599,image_1599.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Does this image contain any finding?,Yes
1599,image_1599.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1600,image_1600.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Does this image contain any finding?,Yes
1600,image_1600.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1601,image_1601.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of these findings.",Barrett's esophagus,Does this image contain any finding?,Yes
1601,image_1601.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of these findings.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1602,image_1602.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. If any are identified, what specific type of abnormality could be present?",Barrett's esophagus,Does this image contain any finding?,Yes
1602,image_1602.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. If any are identified, what specific type of abnormality could be present?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1603,image_1603.jpg,Lesion Type Identification,"Can you identify any pathological findings in this image? If present, please characterize the nature of the abnormality.",Barrett's esophagus,Does this image contain any finding?,Yes
1603,image_1603.jpg,Lesion Type Identification,"Can you identify any pathological findings in this image? If present, please characterize the nature of the abnormality.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1604,image_1604.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,Barrett's esophagus,Does this image contain any finding?,Yes
1604,image_1604.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1605,image_1605.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",Barrett's esophagus,Does this image contain any finding?,Yes
1605,image_1605.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1606,image_1606.jpg,Lesion Type Identification,"Can you identify any pathological findings in this image? If present, please characterize the nature of the abnormality.",Barrett's esophagus,Does this image contain any finding?,Yes
1606,image_1606.jpg,Lesion Type Identification,"Can you identify any pathological findings in this image? If present, please characterize the nature of the abnormality.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1607,image_1607.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Does this image contain any finding?,Yes
1607,image_1607.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1608,image_1608.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should abnormalities be present, what classifications do they fall under?",Barrett's esophagus,Does this image contain any finding?,Yes
1608,image_1608.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should abnormalities be present, what classifications do they fall under?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1609,image_1609.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of these findings.",Barrett's esophagus,Does this image contain any finding?,Yes
1609,image_1609.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of these findings.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1610,image_1610.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",Barrett's esophagus,Does this image contain any finding?,Yes
1610,image_1610.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1611,image_1611.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",Barrett's esophagus,Does this image contain any finding?,Yes
1611,image_1611.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1612,image_1612.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",esophagitis,Does this image contain any finding?,Yes
1612,image_1612.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1613,image_1613.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, could you specify their nature?",esophagitis,Does this image contain any finding?,Yes
1613,image_1613.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, could you specify their nature?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1614,image_1614.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Does this image contain any finding?,Yes
1614,image_1614.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1615,image_1615.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific type?",esophagitis,Does this image contain any finding?,Yes
1615,image_1615.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific type?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1616,image_1616.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific nature of the anomaly?",esophagitis,Does this image contain any finding?,Yes
1616,image_1616.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific nature of the anomaly?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1617,image_1617.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Does this image contain any finding?,Yes
1617,image_1617.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1618,image_1618.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Does this image contain any finding?,Yes
1618,image_1618.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1619,image_1619.jpg,Lesion Type Identification,"Does the endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",esophagitis,Does this image contain any finding?,Yes
1619,image_1619.jpg,Lesion Type Identification,"Does the endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1620,image_1620.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",esophagitis,Does this image contain any finding?,Yes
1620,image_1620.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1621,image_1621.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",esophagitis,Does this image contain any finding?,Yes
1621,image_1621.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1622,image_1622.jpg,Lesion Type Identification,"Examine this endoscopic image for any irregularities; if any are identified, what specific type of abnormality could be indicated?",esophagitis,Does this image contain any finding?,Yes
1622,image_1622.jpg,Lesion Type Identification,"Examine this endoscopic image for any irregularities; if any are identified, what specific type of abnormality could be indicated?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1623,image_1623.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of these findings.",esophagitis,Does this image contain any finding?,Yes
1623,image_1623.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of these findings.",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1624,image_1624.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",esophagitis,Does this image contain any finding?,Yes
1624,image_1624.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1625,image_1625.jpg,Lesion Type Identification,"Please analyze the provided image and determine whether any pathological findings are present. If abnormalities are detected, what specific type do they appear to be?",esophagitis,Does this image contain any finding?,Yes
1625,image_1625.jpg,Lesion Type Identification,"Please analyze the provided image and determine whether any pathological findings are present. If abnormalities are detected, what specific type do they appear to be?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1626,image_1626.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Does this image contain any finding?,Yes
1626,image_1626.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1627,image_1627.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",esophagitis,Does this image contain any finding?,Yes
1627,image_1627.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1628,image_1628.jpg,Lesion Type Identification,"Examine this endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",esophagitis,Does this image contain any finding?,Yes
1628,image_1628.jpg,Lesion Type Identification,"Examine this endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1629,image_1629.jpg,Lesion Type Identification,"Examine this endoscopic image for any irregularities; if any are identified, what specific type of abnormality could be present?",esophagitis,Does this image contain any finding?,Yes
1629,image_1629.jpg,Lesion Type Identification,"Examine this endoscopic image for any irregularities; if any are identified, what specific type of abnormality could be present?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1630,image_1630.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. Should any be identified, what specific type of abnormality could be present?",esophagitis,Does this image contain any finding?,Yes
1630,image_1630.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. Should any be identified, what specific type of abnormality could be present?",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1631,image_1631.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",esophagitis,Does this image contain any finding?,Yes
1631,image_1631.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",esophagitis,Are there any abnormalities in the image? Check all that are present.,Oesophagitis
1632,image_1632.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, could you specify their nature?",gastric polyp,Does this image contain any finding?,Yes
1632,image_1632.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, could you specify their nature?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1633,image_1633.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should abnormalities be identified, what classifications do they fall under?",gastric polyp,Does this image contain any finding?,Yes
1633,image_1633.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should abnormalities be identified, what classifications do they fall under?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1634,image_1634.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",gastric polyp,Does this image contain any finding?,Yes
1634,image_1634.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are detected, please identify their specific nature.",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1635,image_1635.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific type?",gastric polyp,Does this image contain any finding?,Yes
1635,image_1635.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific type?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1636,image_1636.jpg,Lesion Type Identification,"Could you analyze this endoscopic image and determine whether any pathological findings are present? If abnormalities are identified, what specific type might they be?",gastric polyp,Does this image contain any finding?,Yes
1636,image_1636.jpg,Lesion Type Identification,"Could you analyze this endoscopic image and determine whether any pathological findings are present? If abnormalities are identified, what specific type might they be?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1637,image_1637.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should abnormalities be present, what classifications do they fall under?",gastric polyp,Does this image contain any finding?,Yes
1637,image_1637.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should abnormalities be present, what classifications do they fall under?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1638,image_1638.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, what specific type do they appear to be?",gastric polyp,Does this image contain any finding?,Yes
1638,image_1638.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, what specific type do they appear to be?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1639,image_1639.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classification do they fall under?",gastric polyp,Does this image contain any finding?,Yes
1639,image_1639.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classification do they fall under?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1640,image_1640.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",gastric polyp,Does this image contain any finding?,Yes
1640,image_1640.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1641,image_1641.jpg,Lesion Type Identification,"Does this image reveal any pathological findings? If it does, please characterize the nature of the identified abnormality.",gastric polyp,Does this image contain any finding?,Yes
1641,image_1641.jpg,Lesion Type Identification,"Does this image reveal any pathological findings? If it does, please characterize the nature of the identified abnormality.",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1642,image_1642.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",gastric polyp,Does this image contain any finding?,Yes
1642,image_1642.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1643,image_1643.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classification do they fall under?",gastric polyp,Does this image contain any finding?,Yes
1643,image_1643.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classification do they fall under?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1644,image_1644.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the examination of this endoscopic image?,gastric polyp,Does this image contain any finding?,Yes
1644,image_1644.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the examination of this endoscopic image?,gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1645,image_1645.jpg,Lesion Type Identification,"Can you identify any pathological findings in this image? If present, please characterize the nature of the abnormality.",gastric polyp,Does this image contain any finding?,Yes
1645,image_1645.jpg,Lesion Type Identification,"Can you identify any pathological findings in this image? If present, please characterize the nature of the abnormality.",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1646,image_1646.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,gastric polyp,Does this image contain any finding?,Yes
1646,image_1646.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1647,image_1647.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, could you specify their nature?",gastric polyp,Does this image contain any finding?,Yes
1647,image_1647.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, could you specify their nature?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1648,image_1648.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",gastric polyp,Does this image contain any finding?,Yes
1648,image_1648.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1649,image_1649.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",gastric polyp,Does this image contain any finding?,Yes
1649,image_1649.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1650,image_1650.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",gastric polyp,Does this image contain any finding?,Yes
1650,image_1650.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1651,image_1651.jpg,Lesion Type Identification,"Examine this endoscopic image for potential irregularities. If any are identified, what specific type of abnormality could be present?",gastric polyp,Does this image contain any finding?,Yes
1651,image_1651.jpg,Lesion Type Identification,"Examine this endoscopic image for potential irregularities. If any are identified, what specific type of abnormality could be present?",gastric polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1652,image_1652.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",ulcer,Does this image contain any finding?,Yes
1653,image_1653.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,ulcer,Does this image contain any finding?,Yes
1654,image_1654.jpg,Lesion Type Identification,"Does this image reveal any pathological findings? If it does, please specify the nature of the identified abnormality.",esophageal varices,Does this image contain any finding?,Yes
1655,image_1655.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",esophageal varices,Does this image contain any finding?,Yes
1656,image_1656.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,angiectasia,Does this image contain any finding?,Yes
1657,image_1657.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it be?",angiectasia,Does this image contain any finding?,Yes
1658,image_1658.jpg,Lesion Type Identification,"Does this image reveal any pathological findings? If it does, please characterize the nature of the identified abnormality.",angiectasia,Does this image contain any finding?,Yes
1659,image_1659.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,angiectasia,Does this image contain any finding?,Yes
1660,image_1660.jpg,Lesion Type Identification,"Please analyze the provided endoscopic image and determine whether any pathological findings are present. If abnormalities are identified, what specific type do they appear to be?",angiectasia,Does this image contain any finding?,Yes
1661,image_1661.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific type?",colon polyp,Does this image contain any finding?,Yes
1661,image_1661.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific type?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1662,image_1662.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific nature of the abnormality?",colon polyp,Does this image contain any finding?,Yes
1662,image_1662.jpg,Lesion Type Identification,"Does this endoscopic visualization reveal any pathological findings? If so, could you identify the specific nature of the abnormality?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1663,image_1663.jpg,Lesion Type Identification,"Examine this endoscopic image for potential irregularities. Should any be identified, what specific type of abnormality could be indicated?",colon polyp,Does this image contain any finding?,Yes
1663,image_1663.jpg,Lesion Type Identification,"Examine this endoscopic image for potential irregularities. Should any be identified, what specific type of abnormality could be indicated?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1664,image_1664.jpg,Lesion Type Identification,"Does the endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",colon polyp,Does this image contain any finding?,Yes
1664,image_1664.jpg,Lesion Type Identification,"Does the endoscopic image reveal any pathological findings? If so, could you identify the specific condition?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1665,image_1665.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. Should any be identified, what specific type of abnormality could be present?",colon polyp,Does this image contain any finding?,Yes
1665,image_1665.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. Should any be identified, what specific type of abnormality could be present?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1666,image_1666.jpg,Lesion Type Identification,"Examine this endoscopic image for potential irregularities. Should any be identified, what specific type of abnormality could be indicated?",colon polyp,Does this image contain any finding?,Yes
1666,image_1666.jpg,Lesion Type Identification,"Examine this endoscopic image for potential irregularities. Should any be identified, what specific type of abnormality could be indicated?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1667,image_1667.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",colon polyp,Does this image contain any finding?,Yes
1667,image_1667.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1668,image_1668.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific type?",colon polyp,Does this image contain any finding?,Yes
1668,image_1668.jpg,Lesion Type Identification,"Does this endoscopic image reveal any pathological findings? If so, could you identify the specific type?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1669,image_1669.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it be?",colon polyp,Does this image contain any finding?,Yes
1669,image_1669.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it be?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1670,image_1670.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. If any are identified, what specific type of abnormality could be present?",colon polyp,Does this image contain any finding?,Yes
1670,image_1670.jpg,Lesion Type Identification,"Examine this endoscopic image for any potential irregularities. If any are identified, what specific type of abnormality could be present?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1671,image_1671.jpg,Lesion Type Identification,"Examine this endoscopic image for any irregularities. Should any be identified, what specific type of abnormality could be indicated?",colon polyp,Does this image contain any finding?,Yes
1671,image_1671.jpg,Lesion Type Identification,"Examine this endoscopic image for any irregularities. Should any be identified, what specific type of abnormality could be indicated?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1672,image_1672.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,colon polyp,Does this image contain any finding?,Yes
1672,image_1672.jpg,Lesion Type Identification,What specific pathological finding can be discerned from the provided endoscopic image?,colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1673,image_1673.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",colon polyp,Does this image contain any finding?,Yes
1673,image_1673.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",colon polyp,Are there any abnormalities in the image? Check all that are present.,Polyp
1674,image_1674.jpg,Lesion Type Identification,"Assess this endoscopic image for any pathological findings. Should abnormalities be identified, what classifications do they fall under?",colon polyp,Does this image contain any finding?,Yes
